epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.049,1.44262,2.43173,1.27021,0.45064,0.44071,0.44432,0.33874,1.41035,2.96438,1.21995,3.93254e-05,3.93254e-05,3.93254e-05
2,840.876,1.3957,2.04864,1.25999,0.49612,0.4425,0.46236,0.34791,1.40794,2.70584,1.2527,7.6063e-05,7.6063e-05,7.6063e-05
3,1244.02,1.37562,1.91028,1.25314,0.50777,0.47238,0.46875,0.33842,1.36498,2.73935,1.21459,0.000110205,0.000110205,0.000110205
4,1646.9,1.3597,1.82103,1.25683,0.43512,0.47133,0.47235,0.34136,1.34599,2.55388,1.17746,0.000106318,0.000106318,0.000106318
5,2047.09,1.33802,1.73392,1.2329,0.41687,0.5137,0.47293,0.35647,1.32627,2.4753,1.16551,0.000102424,0.000102424,0.000102424
6,2448.22,1.32315,1.69554,1.23119,0.47986,0.47564,0.4842,0.35454,1.3195,2.45111,1.15919,9.853e-05,9.853e-05,9.853e-05
7,2847.68,1.32414,1.6593,1.23118,0.47007,0.48673,0.48582,0.34885,1.31569,2.23757,1.16219,9.4636e-05,9.4636e-05,9.4636e-05
8,3248.84,1.31817,1.63995,1.22106,0.46961,0.51898,0.5137,0.3765,1.30853,2.0906,1.13298,9.0742e-05,9.0742e-05,9.0742e-05
9,3648.83,1.31092,1.6013,1.22104,0.52108,0.47947,0.49513,0.35634,1.28566,2.06378,1.12862,8.6848e-05,8.6848e-05,8.6848e-05
10,4045.96,1.29599,1.58687,1.21323,0.46812,0.47836,0.48528,0.34917,1.28628,2.05156,1.11464,8.2954e-05,8.2954e-05,8.2954e-05
11,4442.59,1.28592,1.56605,1.20703,0.46278,0.52938,0.51374,0.38773,1.29556,1.98899,1.13165,7.906e-05,7.906e-05,7.906e-05
12,4828.82,1.27693,1.55655,1.20348,0.48373,0.5313,0.51899,0.38351,1.26584,2.0236,1.10719,7.5166e-05,7.5166e-05,7.5166e-05
13,5226.67,1.27717,1.54006,1.20415,0.42607,0.53766,0.49771,0.37332,1.26754,2.0421,1.11034,7.1272e-05,7.1272e-05,7.1272e-05
14,5623.91,1.27738,1.52054,1.20182,0.49682,0.49316,0.49023,0.36711,1.26467,2.1042,1.10102,6.7378e-05,6.7378e-05,6.7378e-05
15,6021.96,1.26427,1.49928,1.19136,0.45381,0.52038,0.51328,0.37907,1.27436,1.93981,1.10481,6.3484e-05,6.3484e-05,6.3484e-05
16,6418.99,1.25047,1.4954,1.19063,0.40692,0.54636,0.47755,0.35814,1.25769,1.96342,1.09396,5.959e-05,5.959e-05,5.959e-05
17,6815.51,1.25118,1.47956,1.19134,0.47708,0.5123,0.50044,0.37225,1.25247,1.93392,1.09143,5.5696e-05,5.5696e-05,5.5696e-05
18,7211.69,1.26126,1.48754,1.19258,0.53051,0.47762,0.50591,0.38738,1.25475,1.8694,1.09646,5.1802e-05,5.1802e-05,5.1802e-05
19,7607.88,1.2519,1.47194,1.18415,0.51425,0.50588,0.52082,0.40149,1.24019,1.95113,1.0831,4.7908e-05,4.7908e-05,4.7908e-05
20,8004.6,1.24961,1.46593,1.18344,0.55127,0.48465,0.51798,0.39032,1.24525,1.78375,1.08307,4.4014e-05,4.4014e-05,4.4014e-05
21,8398.88,1.17674,1.25781,1.09699,0.52745,0.46934,0.50542,0.38845,1.23265,1.90009,1.06361,4.012e-05,4.012e-05,4.012e-05
22,8793.43,1.16118,1.21491,1.09099,0.45868,0.51723,0.52171,0.40444,1.223,1.91263,1.06339,3.6226e-05,3.6226e-05,3.6226e-05
23,9186.12,1.15698,1.2011,1.08197,0.47476,0.53584,0.52863,0.40916,1.21574,1.96271,1.05866,3.2332e-05,3.2332e-05,3.2332e-05
24,9579.04,1.15049,1.18864,1.08102,0.46527,0.53828,0.52249,0.40255,1.21707,1.93716,1.056,2.8438e-05,2.8438e-05,2.8438e-05
25,9971.38,1.15206,1.17338,1.07999,0.4449,0.53909,0.51139,0.39776,1.21363,1.84385,1.05784,2.4544e-05,2.4544e-05,2.4544e-05
26,10365.4,1.14524,1.15754,1.07728,0.47755,0.52519,0.52243,0.40806,1.21426,1.94629,1.05266,2.065e-05,2.065e-05,2.065e-05
27,10758.3,1.14306,1.15258,1.07408,0.41956,0.57019,0.52163,0.40582,1.20489,1.87244,1.04324,1.6756e-05,1.6756e-05,1.6756e-05
28,11151.6,1.13331,1.13972,1.07242,0.41524,0.56576,0.51461,0.40536,1.20087,1.83392,1.04308,1.2862e-05,1.2862e-05,1.2862e-05
29,11544.2,1.13078,1.14009,1.06903,0.43333,0.5476,0.51699,0.40222,1.20442,1.85503,1.04736,8.968e-06,8.968e-06,8.968e-06
30,11935.9,1.12924,1.13237,1.06959,0.55857,0.47034,0.51532,0.40263,1.20374,1.83407,1.04091,5.074e-06,5.074e-06,5.074e-06
