epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.399,1.36377,2.15131,1.31669,0.60153,0.59652,0.61996,0.41431,1.28514,1.79391,1.22221,0.000208199,0.000208199,0.000208199
2,797.273,1.37416,1.65862,1.3409,0.53405,0.52595,0.5116,0.32406,1.36507,1.77179,1.26465,0.000408285,0.000408285,0.000408285
3,1163.03,1.41585,1.60168,1.35753,0.5403,0.56273,0.52259,0.32512,1.40702,1.61669,1.31652,0.000600121,0.000600121,0.000600121
4,1527.95,1.42908,1.57026,1.37395,0.59108,0.56322,0.56696,0.3692,1.36947,1.41813,1.28179,0.000587875,0.000587875,0.000587875
5,1910.86,1.39285,1.46977,1.36179,0.71014,0.55563,0.61876,0.40945,1.30536,1.38546,1.25107,0.0005755,0.0005755,0.0005755
6,2283.03,1.36941,1.41857,1.345,0.64105,0.57148,0.59198,0.3795,1.35556,1.37953,1.26162,0.000563125,0.000563125,0.000563125
7,2656.92,1.33777,1.35653,1.31311,0.67425,0.57041,0.6152,0.405,1.31366,1.343,1.2464,0.00055075,0.00055075,0.00055075
8,3034.8,1.31723,1.32753,1.2944,0.68951,0.61439,0.64576,0.42841,1.28116,1.26991,1.2452,0.000538375,0.000538375,0.000538375
9,3416.41,1.30467,1.30135,1.30065,0.72035,0.58592,0.63747,0.42741,1.28641,1.27792,1.23663,0.000526,0.000526,0.000526
10,3793.11,1.28245,1.23871,1.29572,0.72963,0.61414,0.66932,0.43764,1.29117,1.24141,1.23761,0.000513625,0.000513625,0.000513625
11,4196.34,1.27559,1.22919,1.27928,0.74601,0.58431,0.65654,0.43929,1.24713,1.21097,1.21185,0.00050125,0.00050125,0.00050125
12,4603.55,1.25798,1.22578,1.27023,0.776,0.59065,0.68161,0.46779,1.23229,1.14092,1.18493,0.000488875,0.000488875,0.000488875
13,4968.39,1.23807,1.17446,1.24977,0.76505,0.61189,0.6888,0.47107,1.25432,1.17364,1.20576,0.0004765,0.0004765,0.0004765
14,5333.66,1.24793,1.20475,1.26924,0.79365,0.61451,0.69525,0.473,1.25169,1.11152,1.22438,0.000464125,0.000464125,0.000464125
15,5698.53,1.22259,1.15485,1.25349,0.74792,0.63253,0.68182,0.46843,1.23187,1.11722,1.20493,0.00045175,0.00045175,0.00045175
16,6063.13,1.20019,1.10402,1.23675,0.78871,0.64485,0.7136,0.48778,1.23561,1.09037,1.17989,0.000439375,0.000439375,0.000439375
17,6427.86,1.19373,1.09847,1.22891,0.82595,0.6403,0.72551,0.50496,1.19857,1.04294,1.18228,0.000427,0.000427,0.000427
18,6793.44,1.17924,1.11051,1.22201,0.79649,0.6159,0.70252,0.4897,1.19135,1.07734,1.18024,0.000414625,0.000414625,0.000414625
19,7157.85,1.16002,1.08188,1.21836,0.79452,0.64157,0.70604,0.48636,1.20999,1.07516,1.17955,0.00040225,0.00040225,0.00040225
20,7522.81,1.14202,1.05592,1.20207,0.80336,0.65112,0.72869,0.5164,1.17825,1.01804,1.17034,0.000389875,0.000389875,0.000389875
21,7887.89,1.15035,1.05219,1.2134,0.7585,0.68113,0.72532,0.51015,1.18749,1.00468,1.18262,0.0003775,0.0003775,0.0003775
22,8262.9,1.1382,1.03452,1.19707,0.79867,0.65773,0.72584,0.51522,1.16696,1.02176,1.16484,0.000365125,0.000365125,0.000365125
23,8637.73,1.13018,1.02391,1.19138,0.81919,0.64927,0.72679,0.51341,1.1595,1.00418,1.14967,0.00035275,0.00035275,0.00035275
24,9012.94,1.11879,1.00861,1.19356,0.82181,0.63089,0.72489,0.5096,1.16567,1.02245,1.15728,0.000340375,0.000340375,0.000340375
25,9379.17,1.10355,0.99976,1.18492,0.8093,0.66254,0.73667,0.52165,1.14668,0.9958,1.14292,0.000328,0.000328,0.000328
